,SchoolCode,College Going Rate - Total (12 Months)
0,0130625,26.8
1,0130229,82.8
2,0106401,80.5
3,0130450,81.5
4,0131177,79.4
5,0133876,66.7
6,0132225,84.6
7,0132746,60.0
8,0134452,75.4
9,0130062,85.2
10,0135244,88.1
11,0138693,82.0
12,0134270,88.1
13,0138339,54.8
14,0108670,81.0
15,0133629,61.3
16,0135319,70.2
17,0134536,70.9
18,0133397,80.9
19,0130054,74.6
20,0110460,25.6
21,0134668,79.1
22,0110478,*
23,0100065,62.2
24,0136051,79.5
25,0110189,68.3
26,0130179,*
27,0130146,17.6
28,0137943,73.6
29,0126748,50.0
30,0135905,75.7
31,0115667,43.1
32,0108944,83.6
33,0119859,56.0
34,0125161,54.8
35,0111856,82.6
36,0115238,57.8
37,0125716,40.4
38,0136515,89.8
39,0130286,75.0
40,0137588,67.9
41,0114421,86.9
42,0111799,55.2
43,0130849,70.7
44,0137810,52.8
45,0132704,88.4
46,0130583,89.5
47,0130096,89.1
48,0138289,52.2
49,0330035,*
50,0330753,54.4
51,0334755,58.8
52,0134213,20.7
53,0430827,46.7
54,0437558,80.4
55,0431502,38.8
56,0431676,82.1
57,0120394,72.0
58,0433201,71.0
59,0435602,50.5
60,0434803,53.6
61,0437350,62.3
62,0433953,78.4
63,9010745,*
64,0532507,68.0
65,0631259,68.8
66,0634758,59.1
67,0635250,55.1
68,0731380,84.8
69,0733725,88.2
70,0734244,91.6
71,0731125,89.8
72,0730283,91.8
73,0107524,81.8
74,0730465,63.5
75,0117218,82.5
76,0730861,54.7
77,0737023,58.9
78,0730572,35.6
79,0107797,77.9
80,0733980,69.1
81,0730457,63.5
82,0730549,70.4
83,0737809,59.8
84,0730044,88.5
85,0734566,56.7
86,0731646,80.8
87,0731836,64.6
88,0735407,63.3
89,0730598,78.7
90,0735902,49.0
91,0730291,94.4
92,0732941,76.0
93,0735316,74.3
94,0101477,62.6
95,0733659,42.1
96,0732164,61.1
97,0113118,89.0
98,0730051,89.0
99,0734368,86.7
100,0736504,88.3
101,0132233,62.9
102,0830042,*
103,0833004,61.0
104,0930123,44.6
105,0930131,9.1
106,0930214,60.0
107,0936302,72.2
108,0932756,63.3
109,0930081,86.7
110,0930164,59.2
111,0937805,79.2
112,0136291,50.0
113,0109991,35.7
114,1031053,77.8
115,1030196,81.8
116,1030683,80.7
117,1030501,81.6
118,0113555,89.8
119,1032150,74.9
120,1030295,79.3
121,6112619,*
122,1031897,74.2
123,0108555,96.3
124,1030642,40.0
125,1034214,66.2
126,1032507,76.1
127,1035831,68.4
128,1030279,77.0
129,0132134,88.9
130,1030675,73.8
131,0114553,96.5
132,1032911,65.0
133,1033695,65.4
134,0124727,35.1
135,0126292,94.3
136,0108092,75.5
137,1035310,78.5
138,1033950,50.0
139,0140434,*
140,1034990,69.5
141,0126870,25.0
142,0136499,29.5
143,1036094,70.6
144,1036672,66.0
145,0136523,31.1
146,1030121,79.5
147,1030626,79.9
148,1030790,80.0
149,1035112,47.4
150,1033430,72.8
151,1033422,41.4
152,1030493,72.2
153,1037456,54.9
154,1036938,71.6
155,1035575,78.5
156,1030535,70.3
157,1038306,70.8
158,0122473,32.4
159,1136209,*
160,1132109,*
161,1132851,61.8
162,1135656,69.2
163,1133701,74.6
164,0106203,*
165,1235209,63.4
166,1230705,69.4
167,0107110,80.0
168,0108688,84.0
169,1233402,68.7
170,1234004,61.4
171,1237007,51.9
172,1232909,78.3
173,1230085,*
174,1232206,65.9
175,1330117,*
176,1331404,75.0
177,1332154,60.6
178,1332204,84.9
179,1332501,74.5
180,1330133,83.5
181,1333004,75.8
182,1335306,80.3
183,1335900,80.1
184,1337609,61.8
185,0128454,38.7
186,0117994,28.3
187,0128447,20.8
188,1431352,*
189,1434901,34.6
190,1436203,*
191,1431600,57.5
192,0119081,*
193,0116384,48.3
194,0100529,51.3
195,1531672,47.0
196,1536606,52.5
197,1530252,50.8
198,0116400,50.4
199,1533330,54.5
200,1532290,50.5
201,1530369,58.9
202,0110999,56.5
203,1530344,68.8
204,1535087,46.6
205,1533538,23.9
206,0100198,48.8
207,0116392,56.8
208,1534775,42.2
209,1530476,59.0
210,1530385,52.6
211,1535392,51.0
212,1532605,51.5
213,1530708,51.4
214,0127209,16.7
215,1533843,72.7
216,0114512,40.7
217,1534957,49.7
218,1535905,64.4
219,1536135,46.3
220,1536440,54.6
221,1531367,47.9
222,1534155,54.1
223,1530146,18.2
224,1530401,36.1
225,1632207,66.7
226,0118919,81.5
227,1630151,*
228,0137901,33.3
229,1630169,62.8
230,1634401,71.8
231,0136556,35.4
232,1635606,76.0
233,0110205,83.7
234,0136234,38.3
235,1630953,80.0
236,1734359,56.0
237,1735000,47.4
238,1732304,72.7
239,1736008,52.0
240,1737006,43.7
241,1833805,61.5
242,1838507,61.5
243,1833409,*
244,0136119,62.5
245,1995869,90.8
246,0121939,*
247,0134346,85.0
248,1933399,76.6
249,0138669,37.5
250,1930056,67.8
251,1931641,8.2
252,1933159,48.7
253,1930361,46.2
254,1931732,27.2
255,1995406,49.4
256,0108407,54.7
257,1996537,32.1
258,1995844,60.2
259,1930213,44.0
260,1937051,66.6
261,0100081,62.6
262,1995398,63.7
263,1936624,53.9
264,0111872,92.7
265,1930288,89.7
266,1930528,82.9
267,1996479,39.2
268,1930601,66.9
269,1938166,73.6
270,1930700,63.8
271,1930981,83.9
272,1937739,86.4
273,1931088,83.1
274,0131573,58.3
275,1931237,73.8
276,1995877,*
277,1931187,77.5
278,0118521,36.4
279,0128496,7.0
280,1933951,69.0
281,1934926,74.0
282,1935048,71.5
283,0128488,29.6
284,1931666,73.3
285,1930312,32.4
286,1931823,81.5
287,1938372,79.3
288,1932086,77.7
289,1936418,77.1
290,1932201,80.5
291,1932441,52.9
292,1939164,54.4
293,1932482,76.8
294,0134858,87.0
295,1995661,77.9
296,1937481,81.9
297,1932664,75.7
298,1930320,70.7
299,1996123,*
300,1932680,68.7
301,1932706,65.7
302,1932763,89.2
303,1930353,52.6
304,1932144,89.6
305,1933530,77.0
306,1996131,90.2
307,1934082,80.5
308,1939677,30.0
309,1933597,86.6
310,0100354,95.9
311,1996529,74.2
312,1996586,77.8
313,1934231,47.4
314,1930080,83.4
315,1931781,76.5
316,1996438,86.2
317,1996313,80.6
318,0100602,83.6
319,1939875,81.7
320,0132324,90.7
321,1934678,79.9
322,1935758,87.5
323,1934470,71.4
324,1936947,80.8
325,0127381,91.1
326,0135525,78.3
327,0131938,*
328,1995539,89.5
329,1995935,73.3
330,1996503,83.0
331,0127894,56.0
332,0123133,61.9
333,1930387,13.8
334,0112052,46.3
335,0126524,53.1
336,0137562,9.6
337,0100677,71.0
338,1933241,64.1
339,0126573,30.6
340,0108894,79.6
341,1934371,43.8
342,1931708,54.5
343,1995448,79.7
344,0101659,64.3
345,1938885,74.8
346,0129585,48.5
347,0124362,58.8
348,1939941,62.6
349,1930734,24.0
350,1930940,30.8
351,1936160,65.6
352,1931047,62.8
353,1932383,45.6
354,0124487,53.5
355,0109462,40.4
356,1934033,61.4
357,1936350,62.2
358,0107003,58.8
359,0111492,70.1
360,1937085,*
361,0100800,57.4
362,1931435,19.2
363,0124503,52.3
364,0115253,50.0
365,0117721,68.9
366,0132126,51.0
367,1938554,49.6
368,1933001,81.1
369,0114850,55.3
370,0106849,75.0
371,1932821,4.3
372,1930296,18.0
373,0119966,60.0
374,0131821,76.7
375,1995836,84.7
376,0117606,80.9
377,0126532,54.7
378,0137612,75.8
379,1996073,10.0
380,0135715,80.6
381,0111625,63.8
382,1931450,9.1
383,1930924,46.9
384,0118588,44.7
385,0109454,51.3
386,0124479,48.4
387,0106831,66.0
388,0106997,84.4
389,0117051,50.3
390,1931971,19.4
391,1931856,28.1
392,0117069,48.4
393,1930866,57.4
394,0121285,57.9
395,1937424,57.6
396,0132027,73.8
397,0117747,59.1
398,0126623,71.1
399,0126516,77.4
400,0120808,13.3
401,0129536,58.3
402,0126557,54.3
403,0124404,62.1
404,1930619,7.7
405,1931534,16.7
406,1932623,55.6
407,0102921,94.4
408,1932920,71.7
409,0112045,50.0
410,0133868,74.0
411,0117911,52.2
412,1931930,28.2
413,0101675,59.3
414,0124891,70.1
415,1932888,79.6
416,0102434,65.1
417,1931336,22.4
418,1937838,63.6
419,0112029,55.7
420,0111583,61.7
421,1931682,17.6
422,0126136,66.7
423,0112037,40.2
424,1931690,15.6
425,1931484,15.8
426,0127795,42.3
427,0124495,57.3
428,1930403,*
429,1931500,20.9
430,1931955,*
431,1931476,47.6
432,0126540,71.7
433,1938307,53.7
434,1933381,57.7
435,0122606,67.4
436,0111658,74.6
437,0111484,46.2
438,0127787,57.1
439,0122366,54.2
440,0132282,75.2
441,0122358,50.5
442,1930577,25.0
443,1930791,15.0
444,1931864,53.3
445,0112870,53.8
446,1938968,55.1
447,0126615,62.7
448,1933795,56.2
449,0123141,72.5
450,0125989,71.8
451,0126482,44.4
452,1932342,20.0
453,1931526,63.8
454,0101196,55.0
455,0117598,56.3
456,1939859,58.0
457,0124370,52.5
458,1935519,46.7
459,0130997,47.7
460,1934454,58.6
461,1931997,9.5
462,1939479,58.6
463,0120360,57.7
464,0108878,50.9
465,1939107,64.3
466,0124396,48.6
467,0119727,63.6
468,1937622,54.7
469,0125864,93.1
470,0135723,72.5
471,1935568,72.5
472,0111500,76.7
473,1932250,15.4
474,0124511,48.1
475,0109447,58.6
476,1931393,40.7
477,1931385,11.1
478,1930551,21.4
479,0108936,67.6
480,1935865,52.1
481,1931559,10.0
482,0109512,6.0
483,0107755,73.3
484,0124941,77.0
485,0122374,66.7
486,0112508,67.8
487,1938612,60.8
488,1930429,18.8
489,1933852,74.1
490,1930486,*
491,1932334,27.7
492,0137083,81.8
493,0127910,61.5
494,1934157,48.6
495,0124933,63.0
496,0129627,65.5
497,1930692,*
498,0124388,58.8
499,0110668,36.4
500,0102913,87.1
501,0137091,57.3
502,1995794,7.1
503,1930650,51.0
504,1933118,53.3
505,0135632,75.4
506,1939305,53.7
507,0122341,56.5
508,0122382,33.3
509,1932987,56.2
510,1939040,74.9
511,0100750,65.5
512,0116509,67.3
513,1931989,7.1
514,0127803,64.3
515,1931518,11.1
516,0111575,57.7
517,1932128,49.0
518,1935352,57.7
519,0122333,72.1
520,1930973,22.4
521,1935121,61.1
522,0117762,62.2
523,0109538,57.6
524,1935436,57.9
525,1935923,76.6
526,1930155,59.3
527,1930825,46.2
528,1935998,50.5
529,0124552,63.3
530,1933647,30.2
531,1936467,42.1
532,1934728,60.4
533,1995588,89.0
534,1996552,90.2
535,0136705,58.8
536,1936749,47.7
537,1936822,87.3
538,1936103,74.8
539,1933175,57.6
540,1933324,61.6
541,1937028,49.1
542,1995901,79.6
543,1996495,67.7
544,1937754,93.7
545,1938000,81.6
546,1933373,23.1
547,1995737,78.8
548,1938455,87.0
549,1938679,93.0
550,1936277,84.0
551,1938356,83.7
552,1939602,85.5
553,1938752,75.8
554,0137042,95.7
555,0122432,81.7
556,1939537,70.8
557,1934868,81.2
558,1995653,30.4
559,1936889,71.9
560,1931302,73.1
561,1937903,68.2
562,1939701,77.4
563,0102459,74.9
564,0102475,85.8
565,1931740,78.1
566,1931492,75.3
567,1995802,85.2
568,1996321,92.4
569,1933902,77.3
570,0132969,89.6
571,1932326,54.1
572,1931567,56.3
573,1996057,14.3
574,1931963,61.3
575,1995695,22.8
576,1939834,87.6
577,1939925,58.6
578,1935246,75.3
579,1934801,68.2
580,1936228,61.9
581,1937564,80.6
582,1939149,90.9
583,1932862,93.2
584,1995810,86.3
585,1995786,46.7
586,0134619,36.4
587,0127100,22.6
588,1935808,91.1
589,1937143,87.0
590,1937697,77.6
591,1934553,78.2
592,1930163,74.9
593,0119016,93.4
594,0131128,80.8
595,0119636,78.6
596,2032357,36.9
597,0139691,73.8
598,0110965,74.6
599,0118950,62.5
600,2035707,72.0
601,2030203,70.2
602,0111443,*
603,0125021,72.9
604,0100180,*
605,0117010,80.0
606,2030237,65.0
607,2030013,63.5
608,2030104,30.8
609,2132272,76.2
610,2133056,85.9
611,2133262,80.9
612,2134005,83.1
613,2131340,86.6
614,2133692,83.9
615,2130078,65.8
616,2132587,87.3
617,2134310,73.2
618,2230076,0.0
619,2235356,50.5
620,2331361,58.1
621,2333185,62.8
622,2333649,50.0
623,2330033,8.3
624,2334563,50.0
625,2335024,68.1
626,0136887,25.0
627,2335487,51.9
628,2330041,54.2
629,2332260,46.2
630,2330207,*
631,2332724,*
632,2430163,22.6
633,2432409,55.2
634,2433001,58.4
635,2434207,47.5
636,0120923,45.5
637,2430205,41.8
638,2430098,36.6
639,0127373,50.9
640,2433605,46.1
641,2430601,37.7
642,2430049,13.7
643,2435204,35.6
644,2431807,43.6
645,2430015,0.0
646,2431203,40.7
647,2430114,58.8
648,2530020,*
649,2535409,46.3
650,0124990,8.3
651,2630028,*
652,2635001,*
653,2633006,61.1
654,2630010,56.0
655,2730265,26.5
656,2730117,40.0
657,2730414,81.9
658,2732170,70.1
659,0141010,32.0
660,2730174,66.2
661,2735348,67.3
662,0111435,71.0
663,2732808,72.7
664,2733657,83.5
665,2730109,82.7
666,2734556,81.7
667,0136697,75.0
668,2730166,77.7
669,2733178,73.1
670,2730034,65.4
671,2730190,66.0
672,2730885,61.0
673,2830073,*
674,2835601,72.5
675,2830016,70.0
676,0121087,75.9
677,2830115,73.8
678,2837102,74.3
679,0114314,29.4
680,0124834,39.4
681,2930048,73.3
682,2930030,46.0
683,0112367,94.3
684,2935500,67.7
685,0133983,80.9
686,0134841,36.4
687,3038239,65.8
688,3033057,69.5
689,3033115,83.9
690,3030038,86.9
691,3034204,59.9
692,3030228,71.8
693,3033784,72.2
694,3036712,66.9
695,3030640,82.2
696,3030210,86.4
697,0124131,85.7
698,3037090,76.2
