,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
88818,3030228,75.1,3.0
88890,3033057,59.7,2.7
88907,3033115,63.3,0.0
88924,3033784,45.5,0.3
88941,3034204,60.0,4.1
88958,3036712,40.6,2.4
88975,3038239,55.6,1.2
89024,3030640,61.3,4.2
89091,0124131,55.9,4.2
89123,3030210,62.0,2.5
89276,3030335,42.9,6.3
89295,3030855,42.1,1.9
89314,3032505,44.1,4.5
89332,3033362,58.7,1.7
89367,3037090,60.1,1.5
89384,3037348,74.7,0.8
89402,3037496,78.6,1.1
89451,3030434,66.9,7.2
89468,3032752,68.2,5.7
89485,3033578,77.6,3.7
89501,3033933,60.6,7.1
89519,3035581,69.8,3.2
89537,3035706,58.9,5.1
89555,3036555,56.3,7.8
89617,3030145,46.4,2.7
89634,3030368,21.3,1.2
89651,3031895,65.9,0.2
89669,3032158,68.9,0.6
89687,3032943,69.5,1.4
89705,3034410,54.8,2.4
89722,3038445,51.6,1.9
89770,3033206,86.6,0.5
89799,0111666,82.4,0.0
89885,3034907,0.0,5.2
89902,3035045,60.5,1.9
89986,3030046,74.1,0.8
90003,3031952,51.2,0.9
90020,3035409,43.0,0.7
90055,3038098,54.5,0.4
90098,0119404,72.2,1.5
90115,3030053,55.5,1.1
90149,3031929,62.8,1.4
90183,3038023,58.1,2.0
90247,0106567,86.8,2.9
90266,0108365,64.2,0.7
90284,0114736,68.1,0.7
90338,3030491,39.6,8.5
90353,3030608,97.9,0.0
90407,3036357,43.1,4.2
90424,3036456,36.1,5.0
90473,3030061,52.4,2.5
90490,3030079,1.0,15.7
90508,3030244,58.3,1.2
90526,3030392,57.8,0.8
90559,3034956,60.5,0.5
90617,0102871,73.7,0.6
90668,3032109,78.1,0.4
90702,3037553,52.9,1.8
90760,0133405,77.3,2.2
90776,3030129,0.0,5.7
90794,3030152,72.5,3.1
90812,3030285,71.9,3.1
90846,3030657,65.4,1.1
90864,3035102,69.2,1.4
90894,3033917,82.0,2.4
90941,3130101,*,*
90986,0102293,85.4,2.4
91003,0138081,8.6,10.1
91039,3131851,79.6,0.0
91057,3132453,76.7,0.5
91075,3135704,66.9,3.2
91105,0116459,68.9,2.1
91138,0139840,69.0,3.9
91155,3130119,22.2,8.2
91172,3130176,65.8,2.8
91189,3130184,66.0,2.3
91224,3135308,70.5,7.5
91243,3136504,67.3,7.6
91260,3130010,66.1,0.0
91308,3138500,62.0,1.5
91366,0140541,66.4,2.8
91417,3134657,58.1,3.6
91434,0108084,73.3,0.9
91467,3130150,76.7,0.4
91517,0100057,*,*
91630,0125237,9.1,26.7
91649,0128397,0.0,49.6
91667,0128777,0.0,62.3
91841,0125732,63.9,1.0
91875,3330008,53.5,3.4
91893,3334299,39.4,2.6
92053,3330479,47.2,1.3
92138,0110627,71.7,0.3
92155,0110759,90.5,0.0
92190,3330446,56.5,1.2
92224,3330701,70.4,1.4
92241,3331600,43.5,2.0
92258,3334232,48.9,2.3
92293,0118885,72.3,1.5
92310,3330388,80.2,0.2
92328,3330669,73.6,0.7
92382,3333192,54.2,5.6
92446,0113159,71.8,1.7
92516,3330537,64.8,2.5
92534,3332673,55.5,1.5
92565,0114157,61.4,2.9
92582,3330412,57.3,3.3
92616,3337136,42.6,4.3
92701,3330396,54.7,2.3
92718,3330438,55.2,1.2
92752,3331071,42.8,3.1
92786,3333770,49.5,4.9
92802,3331014,59.4,0.0
92828,0127316,64.7,1.0
92863,3330578,65.5,1.5
92881,3330818,53.4,6.3
92917,3335130,59.3,2.8
92970,3335759,28.9,4.9
93020,0113191,52.4,6.1
93055,0140491,63.1,1.8
93089,3330727,66.7,1.5
93106,3335973,46.4,6.9
93170,3330024,54.1,2.5
93235,3330859,69.6,1.4
93253,3334406,50.5,3.0
93271,3336237,61.7,2.0
93289,3336492,60.4,1.7
93368,3331006,30.0,9.1
93404,3337656,61.3,3.1
93437,0100255,45.5,3.4
93455,0121673,88.5,10.3
93509,3330990,52.6,2.9
93542,0107920,37.4,3.4
93593,3330487,53.7,1.9
93611,3332350,33.8,0.5
93641,0105734,85.5,0.3
93657,3330370,75.3,0.6
93690,3330636,31.1,0.0
93707,3330743,72.9,0.3
93753,0100420,63.4,0.4
93786,0118794,62.3,0.0
93820,3330529,64.9,0.6
93852,0109108,66.8,2.2
93887,0133306,71.9,1.6
93904,3330552,63.5,2.1
94083,0105916,68.1,3.0
94101,0108753,61.8,1.7
94118,0116897,66.3,2.4
94153,3430170,56.2,4.3
94224,3430477,43.1,7.6
94242,3430592,65.2,1.8
94260,3430618,51.2,2.2
94277,3430873,74.2,1.5
94311,3432572,50.1,8.9
94376,0113571,79.3,0.2
94456,3431533,24.2,6.4
94473,3433216,69.5,0.1
94490,3434792,0.0,40.5
94521,0119131,36.6,3.3
94556,3433471,42.7,2.0
94630,4835302,45.3,5.4
94682,0137950,0.0,33.1
94725,0101881,45.2,3.0
94743,0101899,23.9,0.0
94759,0101907,28.2,4.5
94776,0101972,50.6,9.7
94792,0102038,100.0,10.2
94807,0108951,69.2,0.0
94894,3430865,99.1,0.0
94912,3431012,49.9,6.2
94931,3434636,41.8,13.4
94949,3434768,45.8,5.1
94967,3435419,55.3,2.9
95029,0135772,16.0,9.7
95047,3430048,40.0,7.3
95082,3430386,12.7,6.5
95116,3430493,47.3,6.3
95187,3431111,62.9,1.2
95204,3432051,33.1,4.1
95221,3432317,52.5,1.1
95238,3432838,23.0,17.5
95256,3435930,49.9,9.2
95273,3436714,56.2,2.2
95291,3438504,31.5,15.2
95339,3430378,34.4,2.2
95385,0102236,63.7,1.6
95415,0112425,100.0,0.0
95448,3430584,46.7,2.0
95515,0101832,53.2,7.0
95599,0130757,1.5,97.2
95615,0139584,2.2,89.1
95686,3433265,54.9,4.2
95704,3433794,50.3,5.5
95723,3434370,54.7,5.1
95742,3436979,72.3,2.2
95765,3530045,*,*
95827,3530060,50.0,4.7
95878,0140012,47.0,6.5
96003,3630803,23.7,4.4
96019,3630290,0.0,8.3
96068,0126243,75.9,3.2
96086,3630225,73.5,3.9
96104,3630373,72.3,5.5
96122,3630571,75.8,4.8
96135,3630845,*,*
96153,3631058,77.8,2.6
96171,3631157,64.8,10.1
96190,3632205,53.1,12.3
96208,3633906,63.8,6.1
96225,3634482,61.6,5.3
96242,3637659,0.0,24.3
96274,3630035,50.5,0.3
96291,3630522,81.2,0.2
96309,3631017,66.6,0.5
96325,3631587,0.0,41.7
96359,3632502,50.6,2.8
96389,0125500,43.5,3.8
96423,3631322,41.8,3.4
96440,3632742,33.0,4.2
96502,0108191,65.3,1.1
96521,0120758,77.2,1.2
96573,3630555,56.7,1.5
96591,3630902,65.5,0.7
96608,3633302,78.4,3.3
96760,3638616,27.6,12.0
96789,3630266,*,*
96805,3634169,2.4,0.0
96980,0118802,56.8,1.8
97013,3630779,48.8,1.6
97066,3635042,62.0,2.6
97101,0102830,59.9,1.9
97135,3630530,2.3,8.5
97153,3630597,64.4,4.3
97171,3633005,60.1,2.0
97221,3635265,45.9,5.0
97317,0125450,54.4,4.5
97334,0136952,54.9,8.8
97414,3631082,55.2,1.9
97430,3631090,100.0,0.0
97447,3632221,55.1,1.0
97481,3634680,73.6,2.0
97498,3635844,47.1,4.4
97516,3636081,45.4,1.3
97581,0125419,42.8,5.7
97685,3630787,50.6,6.4
97704,3638012,47.6,9.1
97754,3633351,0.0,28.8
97772,3638509,38.4,1.5
97788,3630076,*,*
97805,3630274,52.1,0.0
97868,3630233,29.7,7.5
98011,0119115,57.3,2.7
98028,3630407,72.4,1.1
98062,3630746,73.0,2.5
98126,0136432,1.7,26.4
98211,3630563,31.5,2.6
98278,3637584,56.8,2.0
98312,3630423,50.2,0.7
98330,3630894,36.2,5.7
98379,0115998,*,*
98548,0134890,6.9,23.9
98563,3730447,32.0,7.4
98659,3731478,80.2,0.4
98743,0111195,59.9,0.3
98761,0127241,90.4,2.2
98795,3730058,56.9,5.3
98812,3731023,72.1,0.0
98846,3732062,43.3,8.4
98864,3735313,53.8,5.6
98881,3730967,48.3,3.3
98898,3732179,59.7,10.0
98947,0128793,0.0,75.0
98980,0132548,38.7,36.0
99013,3730066,50.7,10.7
99029,3730702,61.2,4.1
99046,3731262,64.9,0.4
99060,3731486,*,*
99093,3731692,35.8,22.7
99110,3731809,50.7,7.6
99128,3732336,56.0,10.9
99161,3732625,55.2,16.0
99179,3732732,95.6,0.2
99196,3734548,44.7,12.4
99213,3734761,48.2,16.4
99346,3733219,45.0,0.0
99381,0123224,24.5,5.8
99494,3734878,52.1,2.7
99525,0118935,88.7,0.2
99557,3730074,75.4,0.5
99574,3730819,74.5,0.6
99591,3731528,83.4,0.0
99624,3735867,64.9,0.9
99688,3735974,49.8,1.3
99721,0106732,96.3,0.0
99754,0107078,73.1,0.0
99770,0107086,61.9,0.0
99787,0107094,71.9,0.0
99803,0107102,74.6,0.0
99821,0107177,63.4,6.5
99838,0107219,52.2,6.9
99853,0107482,57.9,0.0
99869,0108787,98.9,2.0
99887,0114025,65.4,2.5
99903,0114462,91.9,1.9
99919,0118315,100.0,0.0
99935,0118851,65.5,3.2
99977,0122788,92.6,0.0
100022,0127647,98.6,0.0
100086,3730173,81.8,1.6
100103,3730181,73.6,1.7
100122,3730231,26.4,7.5
100139,3730314,68.8,0.3
100203,3730884,90.1,0.0
100288,3731213,67.8,1.5
100303,3731247,95.1,1.0
100337,3732781,84.5,1.0
100355,3732997,58.4,5.8
100371,3733508,85.5,0.7
100390,3733698,70.1,1.0
100407,3734431,68.0,1.1
100423,3734654,53.3,1.1
100440,3735750,78.7,2.0
100458,3737962,29.6,6.3
100531,0106328,87.8,0.0
100548,3730033,78.1,0.3
100566,3731007,69.7,2.5
100582,3737384,14.3,2.8
100599,3737418,81.3,1.1
100616,0125401,0.0,22.8
100681,0111831,71.5,1.1
100729,3730124,60.2,2.9
100746,3730405,67.4,1.1
100763,3730801,40.0,2.8
100780,3730843,75.8,2.0
100796,3731064,45.6,4.8
100829,3731304,2.4,31.1
100863,3731502,41.3,7.7
100881,3731627,71.5,1.7
100915,3732849,53.7,1.5
100932,3733953,49.4,7.8
100949,3738226,37.8,8.6
100965,3738234,53.6,3.8
101026,0114264,0.0,9.3
101062,0118430,79.6,1.5
101127,3730728,45.6,5.3
101183,3738705,36.5,4.8
101223,0127423,80.2,0.6
101257,3730694,69.8,1.5
101271,3731163,*,*
101373,3735206,46.5,3.5
101391,3739018,51.0,2.2
101440,0105726,70.4,3.1
101508,3737632,73.4,3.2
101591,0139451,1.5,21.9
101640,3731114,35.1,3.8
101701,0114678,99.3,0.0
101717,0114694,98.9,3.3
101733,0137067,98.0,0.0
101763,0129320,63.4,3.3
101813,3830361,*,*
101830,3830395,23.3,43.6
101913,0102103,50.0,9.1
101930,0107300,100.0,4.2
101966,0119875,67.2,40.4
101984,0119958,65.9,10.2
102001,0127530,100.0,5.9
102018,3830031,11.9,16.2
102036,3830064,7.0,39.1
102054,3830197,32.7,6.0
102071,3830205,65.4,15.0
102088,3830254,71.2,5.2
102105,3830288,70.6,4.8
102121,3830387,87.4,2.8
102139,3830403,34.9,31.4
102156,3830429,0.0,30.0
102174,3830437,99.1,0.8
102192,3831765,66.8,10.4
102211,3833241,65.2,5.1
102229,3833407,83.1,2.6
102247,3834082,62.5,14.9
102264,3834769,41.0,22.0
102282,3839081,72.5,7.3
102414,3932308,31.3,1.0
102477,3933801,44.9,1.3
102513,3933959,45.4,0.0
102553,0101956,96.9,3.0
102580,0108225,27.4,7.8
102630,3930237,39.4,4.1
102681,3930443,88.2,0.0
102700,3934759,26.6,2.1
102737,3934783,32.1,3.2
102756,0101576,43.0,4.3
102790,0116376,52.1,2.0
102808,3930310,36.2,4.1
102842,3932001,30.0,5.2
102860,3935103,20.0,2.5
102943,0133116,0.0,23.5
102978,0136135,11.3,1.7
103047,3935756,53.6,1.1
103080,0108159,33.7,4.0
103097,0115402,46.3,0.0
103129,0119743,96.8,0.0
103146,0119784,4.7,24.7
103177,0123802,89.2,0.0
103191,0124248,88.9,0.0
103226,3930427,49.4,0.0
103244,3932100,38.9,4.7
103281,3937406,24.3,4.6
103344,0102392,75.8,1.6
103380,0119040,41.0,3.0
103417,3930302,35.3,5.1
103447,3938008,36.2,5.2
103479,0128967,69.8,0.0
103570,4030102,24.6,1.6
103608,4030755,44.0,3.8
103624,0125328,81.5,1.8
103659,4030268,53.2,0.0
103732,4034807,60.5,2.4
103750,4036703,76.3,0.5
103767,4037008,5.3,9.1
103800,4030185,2.7,2.6
103818,4037701,57.2,0.5
103836,0119354,2.6,11.6
103855,4035754,26.9,5.5
103905,4032009,21.7,0.0
103961,0135269,85.0,14.3
104047,4132817,36.0,3.2
104092,0127548,100.0,0.0
104110,4133393,66.0,3.4
104127,4135075,80.0,0.7
104144,4137535,63.2,1.8
104160,4137592,2.0,7.0
104178,4137790,47.1,4.2
104194,4135331,35.3,5.0
104224,0129759,97.7,3.6
104271,4130217,80.8,1.6
104288,4130472,85.4,2.7
104306,4130738,50.9,3.6
104324,4133070,74.9,5.5
104340,4134557,66.7,1.1
104359,4136370,60.1,6.9
104404,0112722,100.0,5.0
104435,0126722,52.7,11.1
104451,0138420,55.2,1.5
104467,0139915,100.0,10.4
104484,4130993,77.7,1.2
104502,4133716,65.5,7.4
104536,4136693,61.3,14.4
104553,4138053,68.3,5.7
104588,4132551,67.8,1.1
104605,4137279,40.9,4.5
104751,4230587,59.3,2.0
104785,4230454,45.5,1.5
104822,4233060,32.6,3.0
104858,0102285,50.0,5.7
104895,4234613,46.8,2.4
104914,4236030,34.3,8.2
104958,4236345,47.1,1.4
104989,4231205,0.0,0.0
105019,0120402,22.6,12.5
105037,4231726,79.5,3.6
105069,4235230,63.0,4.0
105087,4235727,57.0,3.0
105206,0123794,99.0,2.0
105223,0135087,0.0,22.0
105241,4330254,0.0,38.5
105324,4330239,78.4,0.4
105357,4330866,74.1,2.2
105375,4331955,59.2,5.4
105392,4336137,64.4,1.4
105410,4338505,70.2,1.7
105441,0107151,0.0,91.4
105457,0116889,100.0,0.9
105490,0125617,92.5,11.8
105506,0130856,54.5,3.4
105522,0131995,50.0,9.2
105539,0132274,95.3,10.6
105556,4330015,54.2,3.9
105574,4330023,62.1,2.2
105592,4330031,55.3,7.5
105659,4330668,60.0,0.0
105693,4330692,77.9,1.0
105746,4332995,33.8,9.6
105764,4333639,35.5,9.7
105782,4334900,36.6,6.1
105801,4335204,47.0,7.4
105819,4335428,38.4,7.0
105837,4335907,67.2,2.2
105855,4337903,65.5,3.2
105881,4330569,*,*
105898,4331799,84.4,1.0
105915,4332474,65.6,8.1
105931,4333316,77.2,2.6
105948,4334421,93.2,1.5
105964,4334462,92.4,1.1
105988,0114496,97.1,0.0
106005,0118380,55.4,2.9
106022,4332839,51.5,5.7
106070,4334371,83.8,2.1
106089,4337762,89.3,2.0
106120,0102368,67.2,1.1
106139,4333951,49.2,2.6
106192,4334116,83.5,1.8
106209,4334728,83.2,2.9
106271,4332904,91.4,1.6
106288,4335782,94.1,1.1
106347,4330080,47.6,8.3
106413,4333522,75.1,2.3
106429,4333795,47.9,3.8
106447,4335949,63.6,2.8
106463,4337200,4.9,18.3
106480,4338950,52.4,6.4
106527,0135970,96.6,0.0
106542,0141283,*,*
106561,4330122,54.5,2.5
106578,4330247,12.5,12.1
106613,4338802,52.5,5.0
106645,4331039,2.4,4.1
106663,4334470,59.2,1.0
106679,0137315,100.0,10.5
106712,4430146,0.0,30.8
106794,0105858,45.2,4.5
106879,4430245,52.6,5.0
106897,4430518,62.3,1.7
106932,4437901,41.3,3.9
106994,4436754,62.9,1.8
107025,4430096,16.1,11.4
107043,4430187,0.0,4.3
107074,4432340,55.5,4.5
107108,4437109,79.5,2.6
107126,4437406,63.0,1.5
107159,4430211,81.1,1.3
107209,4530150,*,*
107240,4530028,38.0,1.4
107256,4530051,0.0,0.0
107268,4530192,*,*
107320,4530804,19.8,0.0
107413,4530010,0.0,25.0
107541,4530044,42.7,1.4
107559,4530200,0.0,14.3
107576,4530267,15.7,4.2
107593,4530309,28.9,2.6
107610,4532750,39.1,2.8
107627,4537304,47.1,1.8
107686,4531901,52.9,1.0
107792,4732707,25.0,8.7
107808,4734356,*,*
107823,4734901,*,*
107840,4735403,43.9,9.1
107857,4738753,29.5,8.3
107900,4739207,38.8,2.2
107916,4731253,5.3,0.0
107947,4733309,51.2,0.0
107978,4830071,*,*
108044,4831004,58.5,1.0
108080,4832259,45.7,3.8
108140,4830170,61.8,1.5
108159,4830451,33.7,6.2
108177,4833000,19.9,5.8
108231,4838801,49.2,0.0
108277,0141150,*,*
108296,4830089,48.8,7.1
108312,4830113,64.9,1.0
108331,4837803,60.2,5.5
108360,0139816,8.5,11.6
108376,4830147,38.9,9.3
108393,4830196,80.2,2.9
108554,4930400,56.9,2.4
108588,4930855,38.1,3.4
108754,4930012,51.5,5.1
108787,4930111,0.0,9.1
108823,4935151,54.9,3.4
108918,4930160,19.4,15.6
108937,4930244,59.1,4.0
108956,4934154,48.6,6.5
108975,4935292,28.3,6.4
109013,4936803,42.8,6.3
109062,4937256,55.3,3.4
109108,0123786,97.3,3.8
109140,4930384,82.1,4.9
109159,4935482,36.5,7.2
109186,0138263,*,*
109221,4930228,39.8,2.6
109286,4932554,67.7,0.0
109398,0107136,65.4,0.0
109416,0108076,54.0,2.7
109433,5030168,21.5,1.5
109468,5030879,51.2,3.1
109502,5031521,31.6,0.0
109579,0110593,52.9,0.0
109613,0121129,50.9,0.0
109631,5030010,43.4,2.1
109649,5030135,39.6,3.2
109667,5031380,35.7,1.3
109685,5031802,36.9,0.4
109703,5034905,44.5,2.5
109791,5036256,44.4,0.7
109843,5035902,44.9,0.9
109860,5032651,49.5,1.6
109935,5036850,43.0,1.9
109978,5030192,0.0,8.7
110014,5035654,39.0,1.7
110058,5030259,5.3,1.5
110137,5030283,61.1,1.7
110174,5037700,39.6,3.9
110191,0114207,0.0,12.5
110253,5132758,39.1,5.5
110306,5135256,47.1,0.0
110389,5137500,42.2,0.0
110439,0107722,43.7,12.9
110509,5139001,37.1,9.5
110556,0137414,*,*
110574,5231675,0.0,14.6
110593,5231709,28.4,1.9
110624,5235106,40.0,11.8
110643,5237151,0.0,31.3
110661,5237201,34.8,2.5
110679,0125633,0.0,52.4
110707,5330022,*,*
110723,5337407,50.0,0.0
110757,5337456,26.5,0.0
110772,0119602,81.5,4.4
110804,5430061,0.0,22.9
110890,5430301,93.3,0.0
110991,5433230,42.2,0.5
111008,0124776,*,*
111060,5432414,57.0,1.5
111079,0136507,2.7,16.1
111098,0107649,*,*
111117,0116368,51.3,0.9
111135,0130708,20.6,0.0
111169,5430145,0.0,21.1
111187,5435409,51.5,0.9
111206,5435466,64.8,2.1
111225,0109751,17.1,1.8
111242,0120659,58.5,0.0
111276,5430046,39.1,2.4
111294,5430368,64.9,1.1
111312,5432828,38.0,2.2
111331,5434527,62.8,0.0
111367,5430210,47.0,0.0
111421,0116590,92.0,0.9
111464,5430251,41.1,6.3
111500,5432786,43.1,4.2
111518,5434113,50.4,4.9
111535,5434931,38.0,8.9
111588,5431184,35.2,0.7
111639,5436282,48.7,3.8
111689,5431598,41.4,0.5
111796,5530043,0.0,2.1
111814,5536503,26.3,1.5
111874,5536750,34.0,0.0
111889,5530076,0.0,12.5
111904,5530084,*,*
111923,0109900,2.7,25.7
111989,5630223,0.0,12.5
112066,5632021,53.1,1.2
112142,5634076,75.9,7.2
112186,0120634,27.1,15.8
112204,0125674,16.5,7.8
112220,0131698,66.3,3.1
112237,0136804,6.3,0.0
112287,5630389,41.4,5.3
112305,5631619,50.5,2.3
112323,5631742,41.3,2.9
112341,5632849,35.3,5.9
112359,5634548,40.6,3.2
112377,5634761,30.9,4.3
112441,5630322,67.2,0.4
112475,5635008,52.3,2.6
112492,5636188,48.7,0.7
112557,5630298,67.2,0.0
112575,5630348,70.3,0.4
112593,5630793,39.2,4.3
112612,5637822,36.3,3.0
112685,5630116,76.7,0.2
112703,5633748,62.8,1.7
112722,5637004,55.1,1.6
112738,5630132,86.9,0.3
112811,5630371,65.5,3.3
112829,5633250,50.8,1.8
112863,5635776,49.0,1.4
112895,0113787,0.0,42.9
113065,5732904,21.9,1.5
113092,0135939,100.0,0.0
113110,5735154,48.5,3.6
113224,0101162,45.7,1.6
113242,5738802,39.3,3.3
113293,5830047,*,*
113375,5830013,25.4,5.0
113445,5835202,28.1,5.5
113481,5838305,41.4,2.5
